time, s;burned, Cycles;burn rate, Cycles/s;burn rate, TCycles/y
60.9;52063440;854900;27.0
121.9;104126880;854199;26.9
183.1;156780320;856255;27.0
244.6;210613760;861053;27.2
306.1;263857200;861996;27.2
367.6;317100640;862624;27.2
428.7;369752840;862497;27.2
490.0;422406280;862053;27.2
551.0;475649720;863248;27.2
612.1;528893160;864063;27.2
673.3;581546600;863725;27.2
734.3;633610040;862876;27.2
795.5;685672240;861938;27.2
856.6;737735680;861237;27.2
917.8;790389120;861177;27.2
